order,x,y,w,h,yolo_confidence,crop_original_shape,crop_final_shape,dtype,min,max,mean,classifier_class,classifier_confidence,became_unknown,valid_segment,max_iou_with_later_box,visual_observation
168,553,322,41,43,0.9319014549255371,"[47, 45, 3]","[28, 28]",uint8,0,255,82.1390306122449,?,0.24512793123722076,True,True,0.0,possivelmente_cortado
169,552,373,40,33,0.9258926510810852,"[37, 44, 3]","[28, 28]",uint8,0,255,71.11607142857143,ぬ,0.8716767430305481,False,True,0.0,possivelmente_cortado
170,555,421,32,33,0.907336950302124,"[37, 36, 3]","[28, 28]",uint8,0,255,83.13520408163265,に,0.9994275569915771,False,True,0.0,possivelmente_cortado
171,559,462,17,46,0.9072372913360596,"[50, 21, 3]","[28, 28]",uint8,0,255,39.44515306122449,に,0.7276968359947205,False,True,0.0,possivelmente_cortado
172,549,512,38,43,0.9161084294319153,"[47, 42, 3]","[28, 28]",uint8,0,255,80.52168367346938,を,0.6844953894615173,False,True,0.0,possivelmente_cortado
173,549,559,33,43,0.9329699277877808,"[47, 37, 3]","[28, 28]",uint8,0,255,76.11989795918367,?,0.3817402422428131,True,True,0.0,possivelmente_cortado
174,558,613,14,31,0.8675163388252258,"[35, 18, 3]","[28, 28]",uint8,0,255,39.59438775510204,み,0.9572342038154602,False,True,0.0,possivelmente_cortado
175,549,656,28,41,0.8751476407051086,"[45, 32, 3]","[28, 28]",uint8,0,255,38.11734693877551,て,0.7883449792861938,False,True,0.0,possivelmente_cortado
176,547,705,29,42,0.9100479483604431,"[46, 33, 3]","[28, 28]",uint8,0,255,66.66198979591837,す,0.5250773429870605,False,True,0.0,possivelmente_cortado
177,549,751,34,45,0.8969869017601013,"[49, 38, 3]","[28, 28]",uint8,0,255,55.67857142857143,?,0.3262389302253723,True,True,0.0,possivelmente_cortado
178,539,798,45,44,0.9091163277626038,"[48, 49, 3]","[28, 28]",uint8,0,255,84.30102040816327,?,0.24700069427490234,True,True,0.0,possivelmente_cortado
179,540,847,32,42,0.8668277859687805,"[46, 36, 3]","[28, 28]",uint8,0,255,51.089285714285715,?,0.4290296733379364,True,True,0.0,possivelmente_cortado
180,498,177,42,37,0.9395473003387451,"[41, 46, 3]","[28, 28]",uint8,0,255,64.10076530612245,ね,0.5072221755981445,False,True,0.0,possivelmente_cortado
181,508,226,16,41,0.8422659039497375,"[45, 20, 3]","[28, 28]",uint8,0,255,34.545918367346935,た,0.9958829879760742,False,True,0.0,possivelmente_cortado
182,495,322,36,35,0.9390925168991089,"[39, 40, 3]","[28, 28]",uint8,0,255,72.72704081632654,ひ,0.9999969005584717,False,True,0.0,possivelmente_cortado
183,496,368,32,45,0.8572019934654236,"[49, 36, 3]","[28, 28]",uint8,0,255,67.05229591836735,け,0.5888187289237976,False,True,0.0,possivelmente_cortado
184,495,466,27,44,0.7905289530754089,"[48, 31, 3]","[28, 28]",uint8,0,255,43.87627551020408,も,0.8387035727500916,False,True,0.0,possivelmente_cortado
185,490,512,42,42,0.9029284715652466,"[46, 46, 3]","[28, 28]",uint8,0,255,87.20663265306122,?,0.3247935473918915,True,True,0.0,possivelmente_cortado
186,491,562,31,40,0.9411234855651855,"[44, 35, 3]","[28, 28]",uint8,0,255,78.10841836734694,も,0.7750563621520996,False,True,0.0,possivelmente_cortado
187,489,609,33,42,0.9429240822792053,"[46, 37, 3]","[28, 28]",uint8,0,255,58.996173469387756,の,0.8694770932197571,False,True,0.0,possivelmente_cortado
188,489,655,37,47,0.9394047260284424,"[51, 41, 3]","[28, 28]",uint8,0,255,65.42857142857143,れ,0.7866979241371155,False,True,0.0,possivelmente_cortado
189,489,705,31,38,0.9363173842430115,"[42, 35, 3]","[28, 28]",uint8,0,255,73.41198979591837,ね,0.5411936640739441,False,True,0.0,possivelmente_cortado
190,489,754,31,31,0.9293285012245178,"[35, 35, 3]","[28, 28]",uint8,0,255,88.24107142857143,に,0.9766913652420044,False,True,0.0,possivelmente_cortado
191,483,797,42,44,0.9276529550552368,"[48, 46, 3]","[28, 28]",uint8,0,255,83.80357142857143,ま,0.6205593943595886,False,True,0.0,possivelmente_cortado
192,497,850,12,36,0.8934147357940674,"[40, 16, 3]","[28, 28]",uint8,0,255,36.044642857142854,に,0.9996854066848755,False,True,0.0,possivelmente_cortado
193,436,180,35,39,0.9382631182670593,"[43, 39, 3]","[28, 28]",uint8,0,255,87.00382653061224,あ,0.9973795413970947,False,True,0.0,possivelmente_cortado
194,440,226,30,38,0.9413841366767883,"[42, 34, 3]","[28, 28]",uint8,0,255,78.10969387755102,?,0.41604578495025635,True,True,0.0,possivelmente_cortado
195,438,270,34,45,0.9318211674690247,"[49, 38, 3]","[28, 28]",uint8,0,255,53.18494897959184,を,0.7507885694503784,False,True,0.0,possivelmente_cortado
196,435,323,35,36,0.9224562644958496,"[40, 39, 3]","[28, 28]",uint8,0,255,68.68367346938776,さ,0.7556625604629517,False,True,0.0,possivelmente_cortado
197,437,370,27,40,0.8966644406318665,"[44, 31, 3]","[28, 28]",uint8,0,255,39.390306122448976,そ,0.5863078236579895,False,True,0.0,possivelmente_cortado
198,429,417,43,40,0.9374352097511292,"[44, 47, 3]","[28, 28]",uint8,0,255,95.66198979591837,ね,0.6215754151344299,False,True,0.0,possivelmente_cortado
199,427,466,42,33,0.9313060641288757,"[37, 46, 3]","[28, 28]",uint8,0,255,57.44387755102041,に,0.9988822340965271,False,True,0.0,possivelmente_cortado
200,427,512,40,41,0.9248384237289429,"[45, 44, 3]","[28, 28]",uint8,0,255,95.66964285714286,?,0.15831856429576874,True,True,0.0,possivelmente_cortado
201,443,567,13,83,0.5612075328826904,"[87, 17, 3]","[28, 28]",uint8,0,255,20.51530612244898,し,0.9978057742118835,False,True,0.0,possivelmente_cortado
202,428,654,34,41,0.9329962134361267,"[45, 38, 3]","[28, 28]",uint8,0,255,69.91198979591837,も,0.532641589641571,False,True,0.0,possivelmente_cortado
203,438,707,16,33,0.9147204756736755,"[37, 20, 3]","[28, 28]",uint8,0,255,45.3125,る,0.996737539768219,False,True,0.0,possivelmente_cortado
204,429,753,30,36,0.8900052309036255,"[40, 34, 3]","[28, 28]",uint8,0,255,74.55357142857143,わ,0.5932523608207703,False,True,0.0,possivelmente_cortado
205,423,844,41,45,0.9265573024749756,"[49, 45, 3]","[28, 28]",uint8,0,255,81.82142857142857,を,0.5380843281745911,False,True,0.0,possivelmente_cortado
206,377,176,39,38,0.9320935606956482,"[42, 43, 3]","[28, 28]",uint8,0,255,70.96683673469387,?,0.47007131576538086,True,True,0.0,possivelmente_cortado
207,372,223,41,45,0.6180060505867004,"[49, 45, 3]","[28, 28]",uint8,0,255,55.72831632653061,せ,0.9092082381248474,False,True,0.0,possivelmente_cortado
208,381,268,24,47,0.9221767783164978,"[51, 28, 3]","[28, 28]",uint8,0,255,63.50255102040816,も,0.8350359797477722,False,True,0.0,possivelmente_cortado
209,386,318,11,48,0.6902711391448975,"[52, 15, 3]","[28, 28]",uint8,0,255,24.303571428571427,ら,0.9994556307792664,False,True,0.0,possivelmente_cortado
210,369,367,41,44,0.9298054575920105,"[48, 45, 3]","[28, 28]",uint8,0,255,73.1313775510204,れ,0.7896370887756348,False,True,0.0,possivelmente_cortado
211,379,414,21,26,0.6970139145851135,"[30, 25, 3]","[28, 28]",uint8,0,255,57.826530612244895,か,0.9886707067489624,False,True,0.0,possivelmente_cortado
212,381,469,16,32,0.8510929346084595,"[36, 20, 3]","[28, 28]",uint8,0,255,39.807397959183675,る,0.9997939467430115,False,True,0.0,possivelmente_cortado
213,371,508,32,45,0.9279367923736572,"[49, 36, 3]","[28, 28]",uint8,0,255,51.3469387755102,?,0.4393671154975891,True,True,0.0,possivelmente_cortado
214,365,560,42,39,0.9380044937133789,"[43, 46, 3]","[28, 28]",uint8,0,255,94.08418367346938,?,0.2542347311973572,True,True,0.0,possivelmente_cortado
215,370,602,36,48,0.9383363723754883,"[52, 40, 3]","[28, 28]",uint8,0,255,55.43622448979592,?,0.43108996748924255,True,True,0.0,possivelmente_cortado
216,367,656,35,35,0.9274928569793701,"[39, 39, 3]","[28, 28]",uint8,0,255,70.21301020408163,し,0.9874871969223022,False,True,0.0,possivelmente_cortado
217,379,701,8,41,0.7814300656318665,"[45, 12, 3]","[28, 28]",uint8,0,255,25.674744897959183,ら,0.8488617539405823,False,True,0.0,possivelmente_cortado
218,363,742,36,32,0.5949097275733948,"[36, 40, 3]","[28, 28]",uint8,0,255,76.7984693877551,?,0.4897458553314209,True,True,0.0,possivelmente_cortado
219,368,795,27,19,0.5262376666069031,"[23, 31, 3]","[28, 28]",uint8,0,255,72.09183673469387,か,0.9632901549339294,False,True,0.0,possivelmente_cortado
220,315,187,42,20,0.920505702495575,"[24, 46, 3]","[28, 28]",uint8,0,255,60.48086734693877,や,0.9365023374557495,False,True,0.0,possivelmente_cortado
221,316,228,40,36,0.9365754127502441,"[40, 44, 3]","[28, 28]",uint8,0,255,74.24234693877551,?,0.2792033553123474,True,True,0.0,possivelmente_cortado
222,314,272,35,36,0.9322498440742493,"[40, 39, 3]","[28, 28]",uint8,0,255,87.3890306122449,ま,0.6981641054153442,False,True,0.0,possivelmente_cortado
223,318,317,27,40,0.9156079888343811,"[44, 31, 3]","[28, 28]",uint8,0,255,62.016581632653065,?,0.331831693649292,True,True,0.0,possivelmente_cortado
224,324,376,13,18,0.8399336338043213,"[22, 17, 3]","[28, 28]",uint8,0,255,57.919642857142854,か,0.5965745449066162,False,True,0.0,possivelmente_cortado
225,314,412,33,45,0.8969582319259644,"[49, 37, 3]","[28, 28]",uint8,0,255,71.91836734693878,は,0.766487181186676,False,True,0.0,possivelmente_cortado
226,328,459,12,40,0.8765029311180115,"[44, 16, 3]","[28, 28]",uint8,0,255,32.61862244897959,と,0.7805277705192566,False,True,0.0,possivelmente_cortado
227,310,515,41,35,0.9307314157485962,"[39, 45, 3]","[28, 28]",uint8,0,255,54.454081632653065,?,0.48402324318885803,True,True,0.0,possivelmente_cortado
228,318,558,15,56,0.8204200267791748,"[60, 19, 3]","[28, 28]",uint8,0,255,29.169642857142858,う,0.9374691247940063,False,True,0.0,possivelmente_cortado
229,307,619,40,25,0.8491455912590027,"[29, 44, 3]","[28, 28]",uint8,0,255,39.880102040816325,へ,0.997302770614624,False,True,0.0,possivelmente_cortado
230,309,652,28,44,0.9076500535011292,"[48, 32, 3]","[28, 28]",uint8,0,255,55.234693877551024,は,0.575039803981781,False,True,0.0,possivelmente_cortado
231,315,701,19,38,0.8101378679275513,"[42, 23, 3]","[28, 28]",uint8,0,255,41.201530612244895,り,0.7316249012947083,False,True,0.0,possivelmente_cortado
232,306,747,33,47,0.9117403030395508,"[51, 37, 3]","[28, 28]",uint8,0,255,61.463010204081634,け,0.9921708106994629,False,True,0.14386459802538787,"possivelmente_cortado, sobreposto"
233,316,777,18,49,0.6076739430427551,"[53, 22, 3]","[28, 28]",uint8,0,255,50.130102040816325,ま,0.5841115117073059,False,True,0.0,possivelmente_cortado
234,304,836,32,50,0.8442043662071228,"[54, 36, 3]","[28, 28]",uint8,0,255,57.69770408163265,?,0.22991520166397095,True,True,0.0,possivelmente_cortado
235,258,175,35,43,0.9369489550590515,"[47, 39, 3]","[28, 28]",uint8,0,255,74.74872448979592,?,0.4318223297595978,True,True,0.0,possivelmente_cortado
236,257,223,32,39,0.9433244466781616,"[43, 36, 3]","[28, 28]",uint8,0,255,66.50892857142857,の,0.9389697313308716,False,True,0.0,possivelmente_cortado
237,260,268,29,47,0.9379517436027527,"[51, 33, 3]","[28, 28]",uint8,0,255,47.61352040816327,や,0.5436286926269531,False,True,0.0,possivelmente_cortado
238,251,329,40,10,0.9020431637763977,"[14, 44, 3]","[28, 28]",uint8,0,255,31.022959183673468,へ,0.9340722560882568,False,True,0.0,possivelmente_cortado
239,254,364,33,43,0.93975830078125,"[47, 37, 3]","[28, 28]",uint8,0,255,75.67091836734694,?,0.2271784245967865,True,True,0.0,possivelmente_cortado
240,263,412,14,40,0.8420898914337158,"[44, 18, 3]","[28, 28]",uint8,0,255,34.5,よ,0.999371349811554,False,True,0.0,possivelmente_cortado
241,263,456,18,49,0.8697436451911926,"[53, 22, 3]","[28, 28]",uint8,0,255,34.00127551020408,も,0.7667791843414307,False,True,0.0,possivelmente_cortado
242,252,510,35,42,0.9390743970870972,"[46, 39, 3]","[28, 28]",uint8,0,255,93.31377551020408,?,0.3337497115135193,True,True,0.0,possivelmente_cortado
243,248,554,39,40,0.9291819334030151,"[44, 43, 3]","[28, 28]",uint8,0,255,64.06760204081633,?,0.3089020252227783,True,True,0.0,possivelmente_cortado
244,247,605,37,41,0.9369537830352783,"[45, 41, 3]","[28, 28]",uint8,0,255,96.81505102040816,?,0.2766059339046478,True,True,0.0,possivelmente_cortado
245,258,651,15,39,0.8423656225204468,"[43, 19, 3]","[28, 28]",uint8,0,255,35.55612244897959,よ,0.9999663829803467,False,True,0.0,possivelmente_cortado
246,254,694,19,47,0.849515438079834,"[51, 23, 3]","[28, 28]",uint8,0,255,42.058673469387756,?,0.13637003302574158,True,True,0.0,possivelmente_cortado
247,247,749,37,34,0.9288435578346252,"[38, 41, 3]","[28, 28]",uint8,0,255,75.25127551020408,に,0.9939566850662231,False,True,0.0,possivelmente_cortado
248,246,793,33,43,0.9296255111694336,"[47, 37, 3]","[28, 28]",uint8,0,255,67.54081632653062,?,0.3078489601612091,True,True,0.0,possivelmente_cortado
249,242,840,42,46,0.9249624013900757,"[50, 46, 3]","[28, 28]",uint8,0,255,92.21301020408163,ね,0.8098768591880798,False,True,0.0,possivelmente_cortado
